province,count
Qinghai,177.9
Qinghai,100.2678
Qinghai,65.3222
Qinghai,50.3319
Qinghai,40.583
Qinghai,27.8488
Ningxia,526.7259
Ningxia,461.4424
Ningxia,360.759
Ningxia,305.2217
Ningxia,238.8
Ningxia,162.2594
Ningxia,127.3016
Ningxia,90.7829
Ningxia,78.1469
Ningxia,63.6306
Xinjiang,1368.8748
Xinjiang,1354.5412
Xinjiang,1130.9164
Xinjiang,886.9194
Xinjiang,561.3
Xinjiang,376.8043
Xinjiang,349.5687
Xinjiang,285.1187
Xinjiang,234.4037
Xinjiang,166.2802
